table,device,orientation,R1,R2,inclination_deg,effective_SC,source_pdf_page
C13,horizontal_projection,East & West,1.8,,30,0.3963,43
C13,horizontal_projection,East & West,1.8,,40,0.3963,43
C13,horizontal_projection,East & West,1.8,,50,0.3963,43
C13,horizontal_projection,East & West,1.9,,0,0.4826,43
C13,horizontal_projection,East & West,1.9,,10,0.4237,43
C13,horizontal_projection,East & West,1.9,,20,0.4057,43
C13,horizontal_projection,East & West,1.9,,30,0.3963,43
C13,horizontal_projection,East & West,1.9,,40,0.3963,43
C13,horizontal_projection,East & West,1.9,,50,0.3963,43
C13,horizontal_projection,East & West,2.0,,0,0.4770,43
C13,horizontal_projection,East & West,2.0,,10,0.4204,43
C13,horizontal_projection,East & West,2.0,,20,0.4035,43
C13,horizontal_projection,East & West,2.0,,30,0.3963,43
C13,horizontal_projection,East & West,2.0,,40,0.3963,43
C13,horizontal_projection,East & West,2.0,,50,0.3963,43
C13,horizontal_projection,East & West,2.1,,0,0.4713,43
C13,horizontal_projection,East & West,2.1,,10,0.4190,43
C13,horizontal_projection,East & West,2.1,,20,0.4013,43
C13,horizontal_projection,East & West,2.1,,30,0.3963,43
C13,horizontal_projection,East & West,2.1,,40,0.3963,43
C13,horizontal_projection,East & West,2.1,,50,0.3963,43
C13,horizontal_projection,East & West,2.2,,0,0.4657,43
C13,horizontal_projection,East & West,2.2,,10,0.4176,43
C13,horizontal_projection,East & West,2.2,,20,0.3991,43
C13,horizontal_projection,East & West,2.2,,30,0.3963,43
C13,horizontal_projection,East & West,2.2,,40,0.3963,43
C13,horizontal_projection,East & West,2.2,,50,0.3963,43
C13,horizontal_projection,East & West,2.3,,0,0.4601,43
C13,horizontal_projection,East & West,2.3,,10,0.4163,43
C13,horizontal_projection,East & West,2.3,,20,0.3978,43
C13,horizontal_projection,East & West,2.3,,30,0.3963,43
C13,horizontal_projection,East & West,2.3,,40,0.3963,43
C13,horizontal_projection,East & West,2.3,,50,0.3963,43
C13,horizontal_projection,East & West,2.4,,0,0.4544,43
C13,horizontal_projection,East & West,2.4,,10,0.4149,43
C13,horizontal_projection,East & West,2.4,,20,0.3968,43
C13,horizontal_projection,East & West,2.4,,30,0.3963,43
C13,horizontal_projection,East & West,2.4,,40,0.3963,43
C13,horizontal_projection,East & West,2.4,,50,0.3963,43
C13,horizontal_projection,East & West,2.5,,0,0.4488,43
C13,horizontal_projection,East & West,2.5,,10,0.4135,43
C13,horizontal_projection,East & West,2.5,,20,0.3963,43
C13,horizontal_projection,East & West,2.5,,30,0.3963,43
C13,horizontal_projection,East & West,2.5,,40,0.3963,43
C13,horizontal_projection,East & West,2.5,,50,0.3963,43
C13,horizontal_projection,East & West,2.6,,0,0.4432,43
C13,horizontal_projection,East & West,2.6,,10,0.4122,43
C13,horizontal_projection,East & West,2.6,,20,0.3963,43
C13,horizontal_projection,East & West,2.6,,30,0.3963,43
C13,horizontal_projection,East & West,2.6,,40,0.3963,43
C13,horizontal_projection,East & West,2.6,,50,0.3963,43
C13,horizontal_projection,East & West,2.7,,0,0.4400,43
C13,horizontal_projection,East & West,2.7,,10,0.4108,43
C13,horizontal_projection,East & West,2.7,,20,0.3963,43
C13,horizontal_projection,East & West,2.7,,30,0.3963,43
C13,horizontal_projection,East & West,2.7,,40,0.3963,43
C13,horizontal_projection,East & West,2.7,,50,0.3963,43
C13,horizontal_projection,East & West,2.8,,0,0.4369,43
C13,horizontal_projection,East & West,2.8,,10,0.4094,43
C13,horizontal_projection,East & West,2.8,,20,0.3963,43
C13,horizontal_projection,East & West,2.8,,30,0.3963,43
